,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
2,43163,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,222 Madison St,1.0,Sidewalk: Curb side : Cutout,Private,7/11/00 0:00,8,,37.72603642,-122.4226902
3,188921,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,2001 25th St,16.0,Sidewalk: Property side : Yard,Private,,6,Width 8ft,37.75195457,-122.3994817
6,133773,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2460 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,,16,Width 4ft,37.79246726,-122.4395335
8,209974,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,634 Miramar Ave,1.0,Sidewalk: Curb side : Cutout,Private,,6,Width 3ft,37.72831263,-122.4581057
9,9999,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',126 Guerrero St,1.0,Sidewalk: Curb side : Cutout,DPW,,18,5x12,37.76921223,-122.4246565
10,94792,DPW Maintained,Maytenus boaria :: Mayten,2 Laurel St,4.0,Sidewalk: Curb side : Cutout,Private,11/8/10 0:00,13,,37.79098842,-122.4508487
13,29149,DPW Maintained,Lophostemon confertus :: Brisbane Box,301X Jones St,1.0,Sidewalk: Curb side : Cutout,DPW,6/13/15 0:00,3,3x3,37.7839498,-122.4126863
15,134799,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1070 Lombard St,3.0,Sidewalk: Curb side : Yard,Private,,9,,37.80213141,-122.4191471
18,30326,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,946 Capitol Ave,1.0,Sidewalk: Curb side : Cutout,Private,10/13/17 11:13,3,,37.71906925,-122.4591242
19,177625,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,600 Italy Ave,2.0,Sidewalk: Curb side : Cutout,Private,,8,Width 2ft,37.71603005,-122.4345534
21,106947,DPW Maintained,Prunus cerasifera :: Cherry Plum,2710 Baker St,2.0,Sidewalk: Curb side : Cutout,Private,7/2/14 0:00,1,3x3,37.79606292,-122.4453857
22,123907,DPW Maintained,Pittosporum undulatum :: Victorian Box,151 10th Ave,1.0,Sidewalk: Curb side : Cutout,Private,,17,Width 4ft,37.78551,-122.4689918
24,212470,DPW Maintained,Prunus cerasifera :: Cherry Plum,101 Wildwood Way,2.0,Sidewalk: Curb side : Cutout,Private,,6,Width 2ft,37.72754695,-122.4563102
25,238522,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,116 Moffitt St,1.0,Sidewalk: Curb side : Cutout,Private,,10,Width 3ft,37.73743517,-122.4330686
26,246246,DPW Maintained,Pittosporum undulatum :: Victorian Box,90 Frederick St,1.0,Sidewalk: Curb side : Cutout,Private,,11,Width 0ft,37.76753847,-122.4443178
27,46353,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2900 Washington St,2.0,Sidewalk: Curb side : Cutout,Private,2/27/02 0:00,8,,37.79078673,-122.4412931
30,21565,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1458 Sutter St,1.0,Sidewalk: Curb side : Cutout,DPW,,18,4X4,37.78729185,-122.4243405
32,241428,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,814 Duncan St,1.0,Sidewalk: Curb side : Cutout,Private,,4,Width 2ft,37.74547208,-122.4382894
33,19262,DPW Maintained,Pittosporum undulatum :: Victorian Box,1335 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,,18,4X4,37.78219531,-122.4376084
34,4221,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3969 Cesar Chavez St,1.0,Sidewalk: Curb side : Cutout,DPW,,18,3X3,37.7475408,-122.4285472
35,3015,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2451X California St,1.0,Sidewalk: Curb side : Cutout,DPW,,25,2X2,37.78873184,-122.4346644
36,183551,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1200 Vicente St,1.0,Sidewalk: Curb side : Cutout,Private,,16,Width 0ft,37.73920093,-122.4798918
37,230477,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,730 Florida St,5.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.75985952,-122.4110098
38,201010,DPW Maintained,Lophostemon confertus :: Brisbane Box,2290 03rd St,1.0,Sidewalk: Curb side : Cutout,Private,,2,Width 2ft,37.76098758,-122.3887564
