,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
10360,82224,Permitted Site,Brisbane Box,3403x 17TH ST,1.0,Sidewalk: Curb side : Cutout,Police Dept,2/26/05 0:00,12,3x3,37.7628692,-122.4218541
10361,245974,DPW Maintained,Victorian Box,2813 Mission St,1.0,Sidewalk: Curb side : Cutout,Private,,9,Width 0ft,37.75193931,-122.4183208
10362,208248,DPW Maintained,Brisbane Box,65 San Lorenzo Way,2.0,Sidewalk: Curb side : Yard,Private,,5,Width 6ft,37.73906993,-122.4642608
10364,86347,DPW Maintained,Hybrid Strawberry Tree,2385 25th Ave,2.0,Sidewalk: Curb side : Cutout,DPW,12/18/06 0:00,6,3x3,37.74307096,-122.4822119
10365,65953,DPW Maintained,Sycamore: London Plane,1965 Pacific Ave,1.0,Sidewalk: Curb side : Cutout,Private,6/20/90 0:00,11,,37.79419859,-122.4275545
10367,24157,Permitted Site,New Zealand Xmas Tree,110X Whitney Young Cir,7.0,Sidewalk: Curb side : Cutout,Private,12/10/92 0:00,12,3x3,37.73625553,-122.3859266
10372,67653,DPW Maintained,Cherry Plum,27 Pomona St,1.0,Sidewalk: Curb side : Cutout,Private,11/5/92 0:00,7,,37.73195932,-122.3933303
10375,23359,DPW Maintained,Sycamore: London Plane,1301 Van Ness Ave,2.0,Sidewalk: Curb side : Cutout,Private,,5,3X3,37.78782431,-122.421975
10376,228984,DPW Maintained,Brisbane Box,2689 Bryant St,2.0,Sidewalk: Curb side : Yard,Private,,13,Width 6ft,37.75141198,-122.4088828
10379,134138,DPW Maintained,Sycamore: London Plane,2222 Broadway,3.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.79452482,-122.4336587
10380,212726,DPW Maintained,Cherry Plum,1273 10th Ave,1.0,Sidewalk: Curb side : Cutout,Private,,10,Width 5ft,37.76449417,-122.4675111
10381,94316,DPW Maintained,Victorian Box,849 Leavenworth St,1.0,Sidewalk: Curb side : Cutout,Private,,12,3x3,37.78911692,-122.4154123
10384,234225,DPW Maintained,Victorian Box,191 Frederick St,5.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.76720544,-122.4459121
10387,242297,DPW Maintained,Swamp Myrtle,100 Whitney St,1.0,Sidewalk: Curb side : Cutout,Private,,8,Width 3ft,37.73943541,-122.4277556
10388,121470,Undocumented,Sycamore: London Plane,120X The Embarcadero,1.0,Sidewalk: Curb side : Cutout,Port,,8,4x4,37.7916677,-122.3904288
10391,103016,Undocumented,New Zealand Xmas Tree,1950X Turk St,6.0,Sidewalk: Curb side : Cutout,Private,,24,4x4,37.7795869,-122.4414556
10392,23998,DPW Maintained,Sycamore: London Plane,300 West Portal Ave,2.0,Sidewalk: Curb side : Cutout,DPW,,17,3x3,37.73796268,-122.4692605
10395,201031,DPW Maintained,Brisbane Box,2235 03rd St,1.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.76127338,-122.3884742
10397,28872,DPW Maintained,Sycamore: London Plane,240 02nd St,1.0,Sidewalk: Curb side : Cutout,DPW,2/11/06 0:00,3,3x3,37.78620148,-122.3976822
10398,221045,DPW Maintained,Hybrid Strawberry Tree,143 Ord St,1.0,Sidewalk: Curb side : Cutout,Private,,6,Width 2ft,37.76143188,-122.4400302
10399,205021,DPW Maintained,Hybrid Strawberry Tree,799 Joost Ave,3.0,Sidewalk: Curb side : Cutout,Private,,13,Width 2ft,37.73226436,-122.4531722
10401,11052,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',1601 Hyde St,2.0,Sidewalk: Curb side : Cutout,DPW,,70,3X3,37.79565124,-122.4183949
10402,128449,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',251 Leidesdorff St,6.0,Sidewalk: Curb side : Pot,Private,,3,Width 4ft,37.79249532,-122.4018978
10405,210339,DPW Maintained,New Zealand Xmas Tree,2270 15th Ave,1.0,Sidewalk: Curb side : Cutout,Private,,18,Width 3ft,37.74571977,-122.4712674
10406,96042,DPW Maintained,Sycamore: London Plane,890X Market St,5.0,Sidewalk: Curb side : Cutout,DPW,,12,3x3,37.78461599,-122.4073806
10408,135501,DPW Maintained,Sycamore: London Plane,704 Market St,4.0,Sidewalk: Curb side : Cutout,Private,,9,Width 4ft,37.78716558,-122.4042448
10414,10327,DPW Maintained,Southern Magnolia,820 Haight St,1.0,Sidewalk: Curb side : Cutout,Private,12/13/06 0:00,6,4X4,37.77150375,-122.43572
10420,213388,DPW Maintained,Kwanzan Flowering Cherry,243 Noriega St,1.0,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.75458356,-122.4663653
10421,231304,DPW Maintained,New Zealand Xmas Tree,365 Valley St,1.0,Sidewalk: Curb side : Cutout,Private,,11,Width 3ft,37.74420986,-122.4303942
10422,189697,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',135 Mississippi St,4.0,Sidewalk: Curb side : Cutout,Private,,16,Width 3ft,37.76468862,-122.3946948
10425,13486,DPW Maintained,Sycamore: London Plane,200X Market St,14.0,Sidewalk: Curb side : Cutout,DPW,,40,4x4,37.79277291,-122.3971271
10426,234641,DPW Maintained,Sycamore: London Plane,1083 Sanchez St,2.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.75180226,-122.4295881
10427,8322,DPW Maintained,Sycamore: London Plane,1101 Geary Blvd,2.0,Sidewalk: Curb side : Cutout,DPW,10/10/17 11:52,3,3X5,37.78554664,-122.421935
10429,5951,DPW Maintained,Victorian Box,1499X Eddy St,2.0,Sidewalk: Curb side : Cutout,DPW,5/6/92 0:00,6,3X3,37.78138473,-122.4321259
10430,212628,DPW Maintained,Cherry Plum,385 Monticello St,1.0,Sidewalk: Property side : Yard,Private,,6,Width 4ft,37.72122551,-122.4708495
10435,135422,DPW Maintained,Sycamore: London Plane,101 Drumm St,6.0,Sidewalk: Curb side : Cutout,Private,,14,Width 3ft,37.79475658,-122.3967458
10436,195299,DPW Maintained,Sycamore: London Plane,201 Market St,6.0,Sidewalk: Curb side : Cutout,DPW,,4,Width 4ft,37.79253464,-122.3970185
10437,27892,Permitted Site,Sycamore: London Plane,280 The Embarcadero,22.0,Sidewalk: Curb side : Cutout,Port,1/31/01 0:00,12,,37.78301288,-122.3884284
10438,230557,DPW Maintained,Southern Magnolia,5 College Ave,2.0,Sidewalk: Curb side : Cutout,Private,,6,Width 3ft,37.73494467,-122.4276967
10445,189779,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',1651 20th St,1.0,Sidewalk: Curb side : Cutout,Private,,10,Width 3ft,37.75986665,-122.3980425
10446,180108,DPW Maintained,Swamp Myrtle,76 Wanda St,1.0,Sidewalk: Curb side : Cutout,Private,,1,Width 3ft,37.72256392,-122.4404773
10448,237208,DPW Maintained,Kwanzan Flowering Cherry,483 Valley St,3.0,Sidewalk: Curb side : Yard,Private,,1,,37.74407035,-122.4331447
10449,26879,DPW Maintained,Sycamore: London Plane,155 Valencia St,1.0,Sidewalk: Curb side : Cutout,DPW,,18,3X3,37.77065159,-122.4223861
10453,235420,DPW Maintained,Sycamore: London Plane,3466 21st St,4.0,Sidewalk: Curb side : Cutout,Private,,12,Width 3ft,37.75674096,-122.4248281
10454,237238,DPW Maintained,Kwanzan Flowering Cherry,160 Belgrave Ave,3.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.75955539,-122.4508263
10455,17829,DPW Maintained,Brisbane Box,1955 Pine St,1.0,Sidewalk: Curb side : Cutout,DPW,,18,3X3,37.78860412,-122.4279514
10456,110955,DPW Maintained,Victorian Box,940 Filbert St,2.0,Sidewalk: Curb side : Cutout,SFUSD,,9,5x5,37.80075553,-122.4147725
10458,219613,DPW Maintained,Hybrid Strawberry Tree,3725 20th St,2.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.75827097,-122.4240834
10460,69750,DPW Maintained,New Zealand Xmas Tree,805 University St,1.0,Sidewalk: Curb side : Cutout,Private,,10,,37.72011369,-122.411344
10462,2925,Permitted Site,Sycamore: London Plane,1817 California St,5.0,Sidewalk: Curb side : Cutout,Private,,35,3X3,37.78993406,-122.4245855
10463,13513,DPW Maintained,Sycamore: London Plane,333 Market St,7.0,Sidewalk: Curb side : Cutout,DPW,,30,4X4,37.79200906,-122.3976949
10475,230504,DPW Maintained,Southern Magnolia,238 Capp St,1.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.76288024,-122.4184552
10476,175363,DPW Maintained,Hybrid Strawberry Tree,1 Brotherhood Way,8.0,Side Yard : Yard,Private,,3,Width 5ft,37.71231751,-122.4652604
10478,224793,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',560 29th St,1.0,Sidewalk: Curb side : Cutout,Private,,19,Width 3ft,37.74341723,-122.4324429
10481,219738,DPW Maintained,Hybrid Strawberry Tree,351 Treat Ave,8.0,Sidewalk: Curb side : Cutout,Private,,13,Width 3ft,37.76452953,-122.4133445
10486,195438,DPW Maintained,Sycamore: London Plane,260 Steuart St,8.0,Sidewalk: Curb side : Cutout,Private,,10,Width 4ft,37.79139927,-122.3909122
10495,18786,Permitted Site,New Zealand Xmas Tree,345X Roosevelt Way,4.0,Sidewalk: Curb side : Cutout,Private,,18,3X3,37.76523113,-122.4422101
10497,225020,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',4330 19th St,1.0,Sidewalk: Curb side : Cutout,Private,,19,Width 3ft,37.75917827,-122.437728
10498,241484,DPW Maintained,Swamp Myrtle,4280 26th St,1.0,Sidewalk: Curb side : Cutout,Private,,7,Width 4ft,37.74805294,-122.4354611
10499,241989,DPW Maintained,Swamp Myrtle,38 Samoset St,1.0,Sidewalk: Curb side : Cutout,Private,,2,Width 3ft,37.74459235,-122.4083931
10500,40803,DPW Maintained,Victorian Box,2904 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,8/25/99 0:00,8,,37.79145205,-122.4430852
10513,212387,DPW Maintained,Cherry Plum,95 San Rafael Way,1.0,Sidewalk: Curb side : Yard,Private,,5,Width 6ft,37.73336351,-122.4703394
10515,16800,DPW Maintained,Victorian Box,30X Beideman St,5.0,Sidewalk: Curb side : Cutout,DPW,,6,3X3PL,37.78191694,-122.4382411
10516,37404,Permitted Site,Swamp Myrtle,1649 Castro St,1.0,Sidewalk: Curb side : Cutout,Private,6/15/98 0:00,10,3x3,37.74850969,-122.4337213
10519,217878,DPW Maintained,Cherry Plum,184 Edgewood Ave,1.0,Sidewalk: Curb side : Cutout,Private,,13,Width 2ft,37.76247736,-122.4548772
10520,179004,DPW Maintained,Kwanzan Flowering Cherry,500 Paris St,5.0,Sidewalk: Curb side : Cutout,Private,,6,Width 2ft,37.72065673,-122.4357986
10521,16254,DPW Maintained,Brisbane Box,625 Monterey Blvd,3.0,Sidewalk: Curb side : Cutout,DPW,,12,3X3,37.73143598,-122.4499518
10523,120710,DPW Maintained,Southern Magnolia,80 21st Ave,2.0,Sidewalk: Curb side : Yard,Private,,9,Width 5ft,37.78616888,-122.4807981
10527,200809,DPW Maintained,Sycamore: London Plane,700 Folsom St,3.0,Sidewalk: Curb side : Yard,Private,,8,Width 0ft,37.7835481,-122.3993791
10528,3324,DPW Maintained,Sycamore: London Plane,5233 California St,1.0,Sidewalk: Curb side : Cutout,Private,,35,2X2,37.78431994,-122.4735994
10530,61071,DPW Maintained,Sycamore: London Plane,2611 Sutter St,1.0,Sidewalk: Curb side : Cutout,Private,9/1/83 0:00,10,,37.78466911,-122.4437966
10533,142509,DPW Maintained,New Zealand Xmas Tree,660 Vallejo St,3.0,Sidewalk: Curb side : Cutout,Private,,12,Width 0ft,37.79868755,-122.4084136
10534,190179,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',20 Spear St,7.0,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.79336435,-122.3952411
10535,236346,DPW Maintained,Cherry Plum,22 Valley St,1.0,Sidewalk: Curb side : Cutout,Private,,11,Width 3ft,37.74480152,-122.4228277
10540,209947,DPW Maintained,New Zealand Xmas Tree,2400 14th Ave,1.0,Sidewalk: Curb side : Cutout,Private,8/22/95 0:00,13,Width 3ft,37.74312227,-122.4701406
10545,26473,DPW Maintained,Victorian Box,104 Gold Mine Dr,1.0,Sidewalk: Curb side : Cutout,Private,8/13/11 0:00,1,3x3,37.74326484,-122.4379676
10546,246249,DPW Maintained,Southern Magnolia,96 Frederick St,4.0,Sidewalk: Curb side : Cutout,Private,,2,Width 0ft,37.76751454,-122.4445079
10548,73518,DPW Maintained,Brisbane Box,4235 19th St,6.0,Sidewalk: Curb side : Cutout,SFUSD,6/23/15 7:36,3,4x4,37.75912822,-122.4363351
10551,250392,DPW Maintained,New Zealand Xmas Tree,30 25th Ave,1.0,Sidewalk: Curb side : Yard,Private,,15,Width 4ft,37.78876932,-122.4846432
10552,23576,DPW Maintained,Sycamore: London Plane,3100X Van Ness Ave,2.0,Sidewalk: Curb side : Cutout,DPW,3/26/90 0:00,18,3x3,37.80413506,-122.425016
10554,229100,DPW Maintained,Brisbane Box,2355 Folsom St,1.0,Sidewalk: Curb side : Cutout,Private,,9,Width 4ft,37.75926236,-122.414638
10556,236376,DPW Maintained,Cherry Plum,3782 24th St,2.0,Sidewalk: Curb side : Cutout,Private,,2,Width 2ft,37.75177318,-122.4271767
10559,138213,DPW Maintained,Hybrid Strawberry Tree,25 Nido Ave,9.0,Sidewalk: Curb side : Cutout,Private,,2,Width 0ft,37.77911142,-122.4462218
10560,232212,DPW Maintained,New Zealand Xmas Tree,6 Park Hill Ave,16.0,Sidewalk: Curb side : Yard,Private,,15,Width 3ft,37.76705772,-122.4393259
10561,180149,DPW Maintained,Swamp Myrtle,443 Naples St,1.0,Sidewalk: Curb side : Cutout,Private,,4,Width 4ft,37.72168933,-122.4304825
10562,131444,DPW Maintained,New Zealand Xmas Tree,245 Mason St,4.0,Sidewalk: Curb side : Cutout,Private,,6,Width 4ft,37.78573498,-122.4096689
10564,7907,DPW Maintained,Victorian Box,1200X Franklin St,3.0,Sidewalk: Curb side : Cutout,DPW,,6,4x4,37.78552073,-122.4229477
10565,7761,DPW Maintained,Sycamore: London Plane,455 Franklin St,3.0,Sidewalk: Curb side : Cutout,Private,5/26/92 0:00,6,3X3,37.77852092,-122.421714
10571,96044,DPW Maintained,Sycamore: London Plane,890X Market St,7.0,Sidewalk: Curb side : Cutout,DPW,,12,3x3,37.78461599,-122.4073806
10575,177321,DPW Maintained,Southern Magnolia,1222 Naples St,3.0,Sidewalk: Curb side : Yard,Private,,9,Width 8ft,37.71152202,-122.4382031
10578,14052,DPW Maintained,Sycamore: London Plane,1355 Market St,8.0,Sidewalk: Curb side : Cutout,DPW,,2,4X4,37.77706934,-122.4166331
10579,246208,DPW Maintained,Victorian Box,1370 Masonic Ave,1.0,Sidewalk: Curb side : Cutout,Private,,9,Width 0ft,37.76803912,-122.4447794
10580,134743,DPW Maintained,Sycamore: London Plane,899 Beach St,2.0,Sidewalk: Curb side : Cutout,Private,,7,Width 4ft,37.80618925,-122.4235832
10581,212620,DPW Maintained,Cherry Plum,119 Beverly St,1.0,Sidewalk: Property side : Yard,Private,,3,Width 10ft,37.71822778,-122.4717197
10583,237053,DPW Maintained,Kwanzan Flowering Cherry,123 Albion St,1.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.76443645,-122.4227449
10584,219834,DPW Maintained,Hybrid Strawberry Tree,2398 Diamond St,1.0,Sidewalk: Curb side : Cutout,Private,,10,Width 2ft,37.73836161,-122.4360177
10585,195839,DPW Maintained,Sycamore: London Plane,95 07th St,2.0,Sidewalk: Curb side : Cutout,Private,,4,Width 4ft,37.77962131,-122.4113072
10587,9212,DPW Maintained,New Zealand Xmas Tree,6255 Geary Blvd,1.0,Sidewalk: Curb side : Cutout,Private,11/16/94 0:00,6,3x3,37.77985982,-122.4866415
10588,26173,DPW Maintained,Hybrid Strawberry Tree,1815 Geneva Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2/7/97 0:00,16,2X3,37.70988186,-122.4241206
10590,135723,DPW Maintained,Cherry Plum,1910 Baker St,1.0,Sidewalk: Curb side : Pot,Private,,9,Width 4ft,37.78896251,-122.4439342
10591,212408,DPW Maintained,Cherry Plum,235 San Leandro Way,3.0,Sidewalk: Curb side : Cutout,Private,,2,Width 3ft,37.73259524,-122.4686601
10597,134894,DPW Maintained,Sycamore: London Plane,603 Jefferson St,5.0,Sidewalk: Curb side : Cutout,Private,,3,Width 4ft,37.80771152,-122.4192848
10598,130758,DPW Maintained,Southern Magnolia,2630 Divisadero St,3.0,Sidewalk: Property side : Yard,Private,,4,Width 4ft,37.79386779,-122.4414713
10603,204786,DPW Maintained,Hybrid Strawberry Tree,1621 16th Ave,1.0,Sidewalk: Curb side : Cutout,Private,,1,Width 2ft,37.75760705,-122.4737203
10605,81903,DPW Maintained,Swamp Myrtle,1328 34th Ave,1.0,Sidewalk: Curb side : Cutout,Private,7/23/09 0:00,2,3x3,37.76225596,-122.4930802
10607,133172,DPW Maintained,Victorian Box,1900 The Embarcadero,8.0,Sidewalk: Curb side : Cutout,Private,,8,Width 4ft,37.80766903,-122.4082131
10609,7194,DPW Maintained,New Zealand Xmas Tree,949 Fillmore St,1.0,Sidewalk: Curb side : Cutout,DPW,,18,3X3,37.77818226,-122.4318103
10610,1812,DPW Maintained,Brisbane Box,2078 Bay Shore Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,,3,6,37.71400739,-122.3999641
10616,58893,DPW Maintained,New Zealand Xmas Tree,6950 Geary Blvd,1.0,Sidewalk: Curb side : Cutout,Private,2/20/80 0:00,19,,37.77979134,-122.4941235
10617,38238,DPW Maintained,Cherry Plum,81 Langton St,4.0,Sidewalk: Curb side : Cutout,Private,7/21/98 0:00,5,,37.77658784,-122.4086713
10622,2957,DPW Maintained,Sycamore: London Plane,2045 California St,1.0,Sidewalk: Curb side : Cutout,Private,,35,3X3,37.78955273,-122.427969
10627,134252,DPW Maintained,Sycamore: London Plane,1835 Van Ness Ave,1.0,Sidewalk: Curb side : Cutout,Private,,5,Width 4ft,37.79270824,-122.4229578
10628,128491,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',201 Montgomery St,6.0,Sidewalk: Curb side : Pot,Private,,4,Width 3ft,37.79124079,-122.402536
10630,9706,DPW Maintained,Brisbane Box,500X Gough St,1.0,Sidewalk: Curb side : Cutout,Private,,3,4X4,37.77804756,-122.4231225
10631,119411,DPW Maintained,Southern Magnolia,401 32nd Ave,4.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.78130935,-122.4924311
10633,42146,DPW Maintained,Cherry Plum,739 18th Ave,1.0,Sidewalk: Curb side : Cutout,Private,6/21/00 0:00,6,,37.77399451,-122.4768566
10634,229619,DPW Maintained,Southern Magnolia,120 Ellsworth St,1.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.74113643,-122.41454
10636,24471,DPW Maintained,Brisbane Box,3240 03rd St,8.0,Sidewalk: Curb side : Cutout,Private,,7,,37.7480165,-122.3875176
10639,64857,DPW Maintained,Kwanzan Flowering Cherry,21 Almaden Ct,1.0,Sidewalk: Curb side : Cutout,Private,2/3/89 0:00,5,,37.78035502,-122.4580202
10640,188114,DPW Maintained,Hybrid Strawberry Tree,1530 03rd St,11.0,Sidewalk: Curb side : Cutout,Private,,9,Width 5ft,37.76810215,-122.3893733
10642,214655,DPW Maintained,Kwanzan Flowering Cherry,1797 10th Ave,2.0,Sidewalk: Curb side : Cutout,Private,,2,Width 3ft,37.75484749,-122.4668273
10643,127609,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',91 Myrtle St,5.0,Sidewalk: Curb side : Cutout,Private,,5,Width 4ft,37.7854537,-122.4191722
10644,235381,DPW Maintained,Sycamore: London Plane,1300 15th St,17.0,Sidewalk: Curb side : Cutout,Private,,11,Width 3ft,37.76705503,-122.4145613
10650,85436,,Brisbane Box,1397X Buchanan St,7.0,Sidewalk: Curb side : Cutout,DPW,8/17/07 0:00,3,3x3,37.78228695,-122.4291858
10654,211579,DPW Maintained,Victorian Box,80 San Fernando Way,2.0,Sidewalk: Curb side : Yard,Private,,21,Width 8ft,37.73504521,-122.4697602
10656,18648,Permitted Site,Victorian Box,65 Reuel Ct,1.0,Sidewalk: Curb side : Cutout,Private,,12,3X4,37.73660085,-122.3826572
10657,29368,DPW Maintained,Brisbane Box,3802X Alemany Blvd,2.0,Sidewalk: Curb side : Cutout,DPW,3/6/06 0:00,10,3X3,37.71179214,-122.4663381
10660,58712,DPW Maintained,Sycamore: London Plane,688 Hayes St,1.0,Sidewalk: Curb side : Cutout,Private,5/10/79 0:00,12,3x3,37.77636146,-122.4276596
10662,257889,Permitted Site,New Zealand Xmas Tree,1862 39th Ave,,Sidewalk: Curb side : Cutout,Private,1/9/19 0:00,3,3x3,37.75213097,-122.4977509
10665,51997,DPW Maintained,Swamp Myrtle,632 Cambridge St,1.0,Sidewalk: Curb side : Cutout,Private,9/2/05 0:00,3,,37.72351791,-122.4172867
10668,230069,DPW Maintained,Southern Magnolia,800X Eugenia Ave,4.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.74038536,-122.4161349
10669,224333,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',108 Fair Oaks St,2.0,Sidewalk: Curb side : Cutout,Private,,17,Width 3ft,37.75478415,-122.4243258
10670,238328,DPW Maintained,Kwanzan Flowering Cherry,230 Collingwood St,1.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.75861086,-122.4359801
10671,45829,Permitted Site,Southern Magnolia,680 Mission St,11.0,Sidewalk: Curb side : Cutout,Private,12/4/01 0:00,12,,37.78663598,-122.4016621
10673,133831,DPW Maintained,Sycamore: London Plane,2903 Clay St,2.0,Sidewalk: Curb side : Cutout,Private,,13,Width 4ft,37.78976471,-122.4412129
10675,195148,DPW Maintained,Sycamore: London Plane,1500 Mariposa St,5.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.76376931,-122.3992781
10676,132918,DPW Maintained,Victorian Box,2315 Broadway,2.0,Sidewalk: Curb side : Cutout,Private,,5,Width 4ft,37.79409297,-122.4356732
10677,4903,Permitted Site,Sycamore: London Plane,94 Ardath Ct,2.0,Sidewalk: Curb side : Cutout,Private,,12,3X4,37.73409046,-122.3818717
10682,195699,DPW Maintained,Sycamore: London Plane,250 King St,12.0,Sidewalk: Curb side : Cutout,Private,,5,Width 2ft,37.77748462,-122.3929004
10683,250796,DPW Maintained,Cherry Plum,290 31st Ave,2.0,Sidewalk: Curb side : Yard,Private,,5,Width 4ft,37.78381955,-122.4913824
10684,133840,DPW Maintained,Sycamore: London Plane,3000 Clay St,2.0,Sidewalk: Curb side : Cutout,Private,,8,Width 4ft,37.78970134,-122.4426872
10686,39290,Permitted Site,Sycamore: London Plane,2030 Harrison St,11.0,Sidewalk: Curb side : Cutout,Private,12/21/98 0:00,10,3x3,37.76460553,-122.4131317
10691,134545,DPW Maintained,Sycamore: London Plane,370 Grove St,2.0,Sidewalk: Curb side : Cutout,Private,,15,Width 4ft,37.77796239,-122.4226471
10692,214248,DPW Maintained,Cherry Plum,750 Congo St,1.0,Sidewalk: Curb side : Cutout,Private,,6,Width 3ft,37.73504756,-122.4412592
10693,187137,DPW Maintained,New Zealand Xmas Tree,2301 Sunset Blvd,4.0,Sidewalk: Curb side : Yard,DPW,9/19/16 13:42,21,Width 0ft,37.74309412,-122.4946384
10699,232609,DPW Maintained,New Zealand Xmas Tree,123 Bemis St,5.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.7373417,-122.4301358
10700,238749,DPW Maintained,Sycamore: London Plane,752 Shotwell St,1.0,Sidewalk: Curb side : Cutout,Private,,0,Width 3ft,37.75644954,-122.4156174
10701,212626,DPW Maintained,Cherry Plum,315 Monticello St,1.0,Sidewalk: Property side : Yard,Private,,3,Width 4ft,37.71980482,-122.4708387
10702,314,Permitted Site,Brisbane Box,3438X 19th Ave,2.0,Sidewalk: Curb side : Cutout,Private,11/15/95 0:00,18,2,37.72513174,-122.4747495
10705,232491,DPW Maintained,New Zealand Xmas Tree,1339 Diamond St,2.0,Sidewalk: Curb side : Cutout,Private,,10,Width 3ft,37.74662336,-122.4357707
10712,170466,DPW Maintained,Victorian Box,90 Lyell St,2.0,Sidewalk: Curb side : Cutout,Private,,0,Width 3ft,37.73115188,-122.4315234
10714,190186,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',20 Spear St,14.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.79314664,-122.394987
10716,209806,DPW Maintained,New Zealand Xmas Tree,3250 19th Ave,2.0,Sidewalk: Curb side : Yard,Private,,12,Width 3ft,37.72916956,-122.474577
10717,68576,DPW Maintained,Sycamore: London Plane,32 Sutro Heights Ave,1.0,Sidewalk: Curb side : Cutout,Private,10/18/93 0:00,7,,37.7762416,-122.5075926
10719,189806,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',2301 Alameda St,8.0,Sidewalk: Curb side : Cutout,Private,,16,Width 4ft,37.76828481,-122.408003
10722,244937,DPW Maintained,Southern Magnolia,300 Laguna St,1.0,Sidewalk: Curb side : Cutout,Private,,8,Width 0ft,37.77381268,-122.4256376
10724,96095,DPW Maintained,Hybrid Strawberry Tree,1300 De Haro St,2.0,Sidewalk: Curb side : Cutout,Private,3/25/11 0:00,3,,37.75321422,-122.4006166
10726,120233,DPW Maintained,Sycamore: London Plane,130 25th Ave,1.0,Sidewalk: Curb side : Cutout,Private,,14,Width 2ft,37.78699598,-122.4851366
10732,224336,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',2789 25th St,1.0,Sidewalk: Curb side : Cutout,Private,,14,Width 4ft,37.75167418,-122.4059818
10734,2584,DPW Maintained,Victorian Box,1700 Bush St,1.0,Sidewalk: Curb side : Cutout,DPW,,9,3x3,37.78813994,-122.4255482
10735,186002,DPW Maintained,New Zealand Xmas Tree,1900 Sunset Blvd,2.0,Sidewalk: Curb side : Yard,Private,,17,Width 0ft,37.75028899,-122.4948474
10739,32453,DPW Maintained,Southern Magnolia,904X Page St,3.0,Sidewalk: Curb side : Cutout,Private,2/2/98 0:00,7,,37.77244074,-122.4358548
10742,66458,DPW Maintained,New Zealand Xmas Tree,11 Wood St,1.0,Sidewalk: Curb side : Cutout,Private,1/9/91 0:00,12,,37.78352295,-122.449386
10743,30439,DPW Maintained,Victorian Box,387 Union St,1.0,Sidewalk: Curb side : Cutout,Private,5/11/56 0:00,15,,37.80080003,-122.4058268
10747,189729,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',637 Carolina St,4.0,Sidewalk: Property side : Yard,Private,,15,,37.76059615,-122.4001481
10749,213101,DPW Maintained,Cherry Plum,207 Los Palmos Dr,1.0,Sidewalk: Curb side : Cutout,Private,,2,Width 3ft,37.73583078,-122.4492337
10750,237408,DPW Maintained,Kwanzan Flowering Cherry,113 Cuvier St,1.0,Sidewalk: Curb side : Cutout,Private,,1,Width 3ft,37.73304137,-122.4284365
10754,102954,DPW Maintained,Sycamore: London Plane,303X 02nd St,11.0,Sidewalk: Curb side : Cutout,Private,,10,3x3,37.78506158,-122.3959244
10755,134447,DPW Maintained,Sycamore: London Plane,220 McAllister St,2.0,Sidewalk: Curb side : Cutout,Private,,8,Width 5ft,37.78073088,-122.4158131
10756,238822,DPW Maintained,Sycamore: London Plane,2030 Harrison St,7.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.76458983,-122.4131486
10759,3775,DPW Maintained,Sycamore: London Plane,6 Carpenter Ct,1.0,Sidewalk: Curb side : Cutout,DPW,2/2/90 0:00,6,3X3,37.73487828,-122.3848431
