,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
108,16957,DPW Maintained,Swamp Myrtle,673 Oak St,2.0,Sidewalk: Curb side : Cutout,DPW,1/25/08 0:00,3,3X3,37.77398518,-122.4301281
109,179052,DPW Maintained,Kwanzan Flowering Cherry,35 Delano Ave,2.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.72733098,-122.4398464
110,67486,DPW Maintained,Victorian Box,617 Wisconsin St,1.0,Sidewalk: Curb side : Cutout,Private,9/8/92 0:00,6,,37.75926202,-122.3990347
111,92244,DPW Maintained,Swamp Myrtle,1510 32nd Ave,2.0,Sidewalk: Curb side : Cutout,Private,7/23/09 0:00,1,3x3,37.75896284,-122.4907049
112,15201,DPW Maintained,Brisbane Box,1120 Mission St,4.0,Sidewalk: Curb side : Cutout,DPW,4/12/95 0:00,6,3X3,37.77888219,-122.4114764
116,250909,DPW Maintained,Victorian Box,283 29th Ave,1.0,Sidewalk: Curb side : Yard,Private,,13,Width 4ft,37.78402696,-122.4893957
120,1509,DPW Maintained,Victorian Box,364 Arguello Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,10/15/96 0:00,9,3X3,37.78454089,-122.4587286
121,120100,DPW Maintained,Swamp Myrtle,2533 Lake St,1.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.78558961,-122.4868639
123,202410,DPW Maintained,Brisbane Box,300 Beale St,3.0,Sidewalk: Curb side : Cutout,Private,,13,Width 3ft,37.78838258,-122.3925036
124,22038,DPW Maintained,Brisbane Box,2895 03rd St,6.0,Sidewalk: Curb side : Cutout,DPW,2/14/95 0:00,3,3X3,37.75340073,-122.3876708
132,95145,DPW Maintained,New Zealand Xmas Tree,3738 Geary Blvd,1.0,Sidewalk: Curb side : Cutout,Private,,4,3x3,37.78137546,-122.4596769
133,57164,DPW Maintained,Victorian Box,2989 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,10/26/74 0:00,15,,37.79116984,-122.4443019
134,214907,DPW Maintained,Swamp Myrtle,334 San Leandro Way,2.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.7311353,-122.4688466
135,10479,DPW Maintained,Brisbane Box,1654 Haight St,1.0,Sidewalk: Curb side : Cutout,DPW,12/2/07 0:00,12,3X3,37.769751,-122.4494797
136,126869,Prune Opt Out,Indian Laurel Fig Tree 'Green Gem',45 Walnut St,2.0,Sidewalk: Curb side : Cutout,Private,,14,Width 2ft,37.79081471,-122.4493157
145,1562,DPW Maintained,Victorian Box,561 Arguello Blvd,1.0,Sidewalk: Curb side : Cutout,Private,,30,3X3,37.78004905,-122.4588994
150,63002,DPW Maintained,Southern Magnolia,1247 42nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,9/22/86 0:00,2,,37.76335092,-122.5019086
153,13911,DPW Maintained,Sycamore: London Plane,1067 Market St,2.0,Sidewalk: Curb side : Cutout,DPW,,30,4X4,37.78097423,-122.4116357
155,129971,DPW Maintained,Brisbane Box,245 Taylor St,2.0,Sidewalk: Curb side : Cutout,Private,,7,Width 4ft,37.78486671,-122.4111954
157,237489,DPW Maintained,Cherry Plum,964 Noe St,1.0,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.75350724,-122.4321583
159,256115,Planning Code 138.1 required,Hybrid Strawberry Tree,503 Anderson St,1.0,Sidewalk: Curb side : Cutout,Private,9/12/18 0:00,3,3x3,37.73711377,-122.4152742
160,8671,DPW Maintained,Swamp Myrtle,2900 Geary Blvd,3.0,Sidewalk: Curb side : Cutout,Private,2/22/96 0:00,7,3X3,37.78220247,-122.4504931
164,130799,DPW Maintained,Southern Magnolia,2624 Steiner St,2.0,Sidewalk: Curb side : Yard,Private,,7,Width 4ft,37.79334342,-122.4363424
